"ACCOUNTID","ASSETID","CASENUMBER","CLOSEDDATE","COMMENTS","CONTACTEMAIL","CONTACTFAX","CONTACTID","CONTACTMOBILE","CONTACTPHONE","CREATEDBYID","CREATEDDATE","DESCRIPTION","ENGINEERINGREQNUMBER__C","ID","ISCLOSED","ISDELETED","ISESCALATED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","ORIGIN","OWNERID","PARENTID","POTENTIALLIABILITY__C","PRIORITY","PRODUCT__C","REASON","SLAVIOLATION__C","SOURCEID","STATUS","SUBJECT","SUPPLIEDCOMPANY","SUPPLIEDEMAIL","SUPPLIEDNAME","SUPPLIEDPHONE","SYSTEMMODSTAMP","TYPE"
"001Hp00002g1VGbIAM","","00001000","2022-09-09T18:59:51.000Z","","rose@edge.com","(512) 757-9000","003Hp00002pTA6fIAG","(512) 757-9340","(512) 757-6000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","765876","500Hp00001dGBniIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","No","High","GC5040","Equipment Complexity","No","","Closed","Starting generator after electrical failure","","","","","2023-10-28T20:45:25.000Z","Electrical"
"001Hp00002g1VGgIAM","","00001001","2022-09-09T18:59:51.000Z","","agreen@uog.com","(212) 842-5501","003Hp00002pTA6wIAG","(212) 842-2383","(212) 842-5500","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","767145","500Hp00001dGBnhIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","Yes","High","GC1060","Performance","Yes","","Closed","Performance inadequate for second consecutive week","","","","","2023-10-28T20:45:25.000Z","Electrical"
"001Hp00002g1VGgIAM","","00001002","","","spavlova@uog.com","(212) 842-5501","003Hp00002pTA6mIAG","(212) 842-5501","(212) 842-5500","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","500Hp00001dGBnjIAG","false","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Low","GC3060","Installation","No","","New","Seeking guidance on electrical wiring installation for GC5060","","","","","2023-10-28T20:45:25.000Z","Electrical"
"001Hp00002g1VGhIAM","","00001003","2022-09-09T18:59:51.000Z","","b.levy@expressl&t.net","(503) 421-7801","003Hp00002pTA6oIAG","(503) 421-5451","(503) 421-7800","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","500Hp00001dGBnkIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Low","GC1020","Installation","No","","Closed","Easy installation process","","","","","2023-10-28T20:45:25.000Z","Other"
"001Hp00002g1VGhIAM","","00001004","2022-09-09T18:59:51.000Z","","b.levy@expressl&t.net","(503) 421-7801","003Hp00002pTA6oIAG","(503) 421-5451","(503) 421-7800","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","784532","500Hp00001dGBnlIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","No","Medium","GC5020","Other","No","","Closed","Maintenance guidelines for generator unclear","","","","","2023-10-28T20:45:25.000Z","Other"
"001Hp00002g1VGhIAM","","00001005","2022-09-09T18:59:51.000Z","","j.davis@expressl&t.net","(503) 421-7801","003Hp00002pTA6pIAG","(503) 421-4387","(503) 421-7800","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","653780","500Hp00001dGBnmIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","Yes","Medium","GC1060","Performance","No","","Closed","Electrical circuit malfunctioning","","","","","2023-10-28T20:45:25.000Z","Electrical"
"001Hp00002g1VGlIAM","","00001006","2022-09-09T18:59:51.000Z","","efrank@genepoint.com","(650) 867-9895","003Hp00002pTA6vIAG","(650) 867-7686","(650) 867-3450","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","253574","500Hp00001dGBnnIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","No","Low","GC1020","Feedback","No","","Closed","Generator assembly instructions unclear","","","","","2023-10-28T20:45:25.000Z","Other"
"001Hp00002g1VGfIAM","","00001007","2022-09-09T18:59:51.000Z","","barr_tim@grandhotels.com","(312) 596-1500","003Hp00002pTA6kIAG","(312) 596-1230","(312) 596-1000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","835735","500Hp00001dGBnoIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","No","Medium","GC1040","Breakdown","No","","Closed","Structural breakdown of rotor assembly","","","","","2023-10-28T20:45:25.000Z","Structural"
"001Hp00002g1VGfIAM","","00001008","2022-09-09T18:59:51.000Z","","barr_tim@grandhotels.com","(312) 596-1500","003Hp00002pTA6kIAG","(312) 596-1230","(312) 596-1000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","500Hp00001dGBnpIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Low","GC1020","Feedback","No","","Closed","Customer service for portable generators needs beefing up","","","","","2023-10-28T20:45:25.000Z","Other"
"001Hp00002g1VGjIAM","","00001009","2022-09-09T18:59:51.000Z","","ajames@uog.com","+44 191 4956620","003Hp00002pTA6sIAG","+44 191 3456234","+44 191 4956203","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","365782","500Hp00001dGBnqIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","Yes","Medium","GC3040","Other","No","","Closed","Mechanical maintenance guidelines for generator misleading","","","","","2023-10-28T20:45:25.000Z","Mechanical"
