"ACCOUNTID","ASSISTANTNAME","ASSISTANTPHONE","BIRTHDATE","CLEANSTATUS","CREATEDBYID","CREATEDDATE","DEPARTMENT","DESCRIPTION","EMAIL","EMAILBOUNCEDDATE","EMAILBOUNCEDREASON","FAX","FIRSTNAME","HOMEPHONE","ID","INDIVIDUALID","ISDELETED","ISEMAILBOUNCED","ISPRIORITYRECORD","JIGSAW","JIGSAWCONTACTID","LANGUAGES__C","LASTACTIVITYDATE","LASTCUREQUESTDATE","LASTCUUPDATEDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTNAME","LASTREFERENCEDDATE","LASTVIEWEDDATE","LEADSOURCE","LEVEL__C","MAILINGADDRESS","MAILINGCITY","MAILINGCOUNTRY","MAILINGGEOCODEACCURACY","MAILINGLATITUDE","MAILINGLONGITUDE","MAILINGPOSTALCODE","MAILINGSTATE","MAILINGSTREET","MASTERRECORDID","MOBILEPHONE","NAME","OTHERADDRESS","OTHERCITY","OTHERCOUNTRY","OTHERGEOCODEACCURACY","OTHERLATITUDE","OTHERLONGITUDE","OTHERPHONE","OTHERPOSTALCODE","OTHERSTATE","OTHERSTREET","OWNERID","PHONE","PHOTOURL","REPORTSTOID","SALUTATION","SYSTEMMODSTAMP","TITLE"
"001Hp00002g1VGfIAM","","","1957-06-05","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Finance","","barr_tim@grandhotels.com","","","(312) 596-1500","Tim","","003Hp00002pTA6kIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Barr","","","External Referral","Secondary","","","","","","","","","2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","","(312) 596-1230","Tim Barr","","","","","","","","","","","005Hp00000hnUYPIA2","(312) 596-1000","/services/images/photo/003Hp00002pTA6kIAG","","Mr.","2023-10-28T20:45:25.000Z","SVP, Administration and Finance"
"001Hp00002g1VGfIAM","","","1959-08-17","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Facilities","","bond_john@grandhotels.com","","","(312) 596-1500","John","","003Hp00002pTA6lIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Bond","","","External Referral","Primary","","","","","","","","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","","(312) 596-1563","John Bond","","","","","","","","","","","005Hp00000hnUYPIA2","(312) 596-1000","/services/images/photo/003Hp00002pTA6lIAG","","Mr.","2023-10-28T20:45:25.000Z","VP, Facilities"
"001Hp00002g1VGgIAM","Audrey Haynes","(212) 842-5589","1947-01-31","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Production","","spavlova@uog.com","","","(212) 842-5501","Stella","","003Hp00002pTA6mIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Pavlova","","","Public Relations","Tertiary","","","","","","","","","1303 Avenue of the Americas 
New York, NY 10019
USA","","(212) 842-5501","Stella Pavlova","","","","","","","(212) 842-5543","","","","005Hp00000hnUYPIA2","(212) 842-5500","/services/images/photo/003Hp00002pTA6mIAG","","Ms.","2023-10-28T20:45:25.000Z","SVP, Production"
"001Hp00002g1VGbIAM","","","1950-07-08","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Finance","","sean@edge.com","","","(512) 757-9000","Sean","","003Hp00002pTA6gIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Forbes","","","Trade Show","Secondary","","","","","","","","","312 Constitution Place
Austin, TX 78767
USA","","(512) 757-4561","Sean Forbes","","","","","","","","","","","005Hp00000hnUYPIA2","(512) 757-6000","/services/images/photo/003Hp00002pTA6gIAG","","Mr.","2023-10-28T20:45:25.000Z","CFO"
"001Hp00002g1VGkIAM","","","1965-07-15","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Production","","ldcruz@uog.com","","","(650) 450-8820","Liz","","003Hp00002pTA6uIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","D'Cruz","","","Public Relations","Secondary","","","","","","","","","10 Tagore Lane
Singapore, Singapore 787472
Singapore","","(650) 345-6637","Liz D'Cruz","","","","","","","","","","","005Hp00000hnUYPIA2","(650) 450-8810","/services/images/photo/003Hp00002pTA6uIAG","","Ms.","2023-10-28T20:45:25.000Z","VP, Production"
"001Hp00002g1VGcIAM","","","","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","jrogers@burlington.com","","","(336) 222-8000","Jack","","003Hp00002pTA6hIAG","","false","false","false","","","","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Rogers","","","Web","","","Burlington","USA","","","","27215","NC","525 S. Lexington Ave","","","Jack Rogers","","","","","","","","","","","005Hp00000hnUYPIA2","(336) 222-7000","/services/images/photo/003Hp00002pTA6hIAG","","Mr.","2023-10-28T20:45:25.000Z","VP, Facilities"
"001Hp00002g1VGhIAM","","","1952-01-11","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Warehouse Mgmt","","j.davis@expressl&t.net","","","(503) 421-7801","Josh","","003Hp00002pTA6pIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Davis","","","Word of mouth","Secondary","","","","","","","","","621 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","","(503) 421-4387","Josh Davis","","","","","","","","","","","005Hp00000hnUYPIA2","(503) 421-7800","/services/images/photo/003Hp00002pTA6pIAG","","Mr.","2023-10-28T20:45:25.000Z","Director, Warehouse Mgmt"
"001Hp00002g1VGhIAM","Ron Sage","(503) 421-6782","1940-09-16","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Operations","","b.levy@expressl&t.net","","","(503) 421-7801","Babara","","003Hp00002pTA6oIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Levy","","","Word of mouth","Primary","","","","","","","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","","(503) 421-5451","Babara Levy","","","","","","","","","","","005Hp00000hnUYPIA2","(503) 421-7800","/services/images/photo/003Hp00002pTA6oIAG","","Ms.","2023-10-28T20:45:25.000Z","SVP, Operations"
"001Hp00002g1VGkIAM","","","1954-04-04","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Executive Team","","tripley@uog.com","","","(650) 450-8820","Tom","","003Hp00002pTA6tIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Ripley","","","Public Relations","Primary","","","","","","","","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","","(650) 345-7636","Tom Ripley","","","","","","","","","","","005Hp00000hnUYPIA2","(650) 450-8810","/services/images/photo/003Hp00002pTA6tIAG","","Mr.","2023-10-28T20:45:25.000Z","Regional General Manager"
"001Hp00002g1VGmIAM","","","","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","","Jake","","003Hp00002pTA6yIAG","","false","false","false","","","","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Llorrac","","","","","","","","","","","","","","","","Jake Llorrac","","","","","","","","","","","005Hp00000hnUYPIA2","","/services/images/photo/003Hp00002pTA6yIAG","","Mr.","2023-10-28T20:45:25.000Z",""
