"ADDRESS","ANNUALREVENUE","CITY","CLEANSTATUS","COMPANY","COMPANYDUNSNUMBER","CONVERTEDACCOUNTID","CONVERTEDCONTACTID","CONVERTEDDATE","CONVERTEDOPPORTUNITYID","COUNTRY","CREATEDBYID","CREATEDDATE","CURRENTGENERATORS__C","DANDBCOMPANYID","DESCRIPTION","EMAIL","EMAILBOUNCEDDATE","EMAILBOUNCEDREASON","FAX","FIRSTNAME","GEOCODEACCURACY","ID","INDIVIDUALID","INDUSTRY","ISCONVERTED","ISDELETED","ISPRIORITYRECORD","ISUNREADBYOWNER","JIGSAW","JIGSAWCONTACTID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTNAME","LASTREFERENCEDDATE","LASTVIEWEDDATE","LATITUDE","LEADSOURCE","LONGITUDE","MASTERRECORDID","MOBILEPHONE","NAME","NUMBEROFEMPLOYEES","NUMBEROFLOCATIONS__C","OWNERID","PHONE","PHOTOURL","POSTALCODE","PRIMARY__C","PRODUCTINTEREST__C","RATING","SICCODE__C","SALUTATION","STATE","STATUS","STREET","SYSTEMMODSTAMP","TITLE","WEBSITE"
"","","","Pending","Dickenson plc","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","a_young@dickenson.com","","","","Andy","","00QHp00001TVByYMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Young","","","","Purchased List","","","","Andy Young","","130.0","005Hp00000hnUYPIA2","(620) 241-6200","/services/images/photo/00QHp00001TVByYMAX","","Yes","GC5000 series","","2768","Mr","KS","Closed - Converted","","2023-10-28T20:54:20.000Z","SVP, Operations",""
"","","","Pending","Blues Entertainment Corp.","","","","","","Japan","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","david@blues.com","","","","David","","00QHp00001TVByaMAH","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Monaco","","","","Purchased List","","","","David Monaco","","130.0","005Hp00000hnUYPIA2","(033) 452-1299","/services/images/photo/00QHp00001TVByaMAH","","Yes","GC5000 series","","2768","Mr","","Working - Contacted","","2023-10-28T20:54:20.000Z","CFO",""
"","","","Pending","International Shipping Co.","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","patricia_feager@is.com","","","","Patricia","","00QHp00001TVByPMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Feager","","","","Partner Referral","","","","Patricia Feager","","130.0","005Hp00000hnUYPIA2","(336) 777-1970","/services/images/photo/00QHp00001TVByPMAX","","Yes","GC5000 series","","2768","Ms","NC","Working - Contacted","","2023-10-28T20:54:20.000Z","CEO",""
"","","","Pending","Pyramid Construction Inc.","","","","","","France","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","pat@pyramid.net","","","","Pat","","00QHp00001TVByXMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Stumuller","","","","Phone Inquiry","","","","Pat Stumuller","","130.0","005Hp00000hnUYPIA2","33562156600","/services/images/photo/00QHp00001TVByXMAX","","Yes","GC5000 series","","2768","Ms","","Closed - Converted","","2023-10-28T20:54:20.000Z","SVP, Administration and Finance",""
"","","","Pending","TNR Corp.","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","ksynder@tnr.net","","","","Kathy","","00QHp00001TVBySMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Snyder","","","","Purchased List","","","","Kathy Snyder","","130.0","005Hp00000hnUYPIA2","(860) 273-0123","/services/images/photo/00QHp00001TVBySMAX","","Yes","GC5000 series","","2768","Ms","CT","Working - Contacted","","2023-10-28T20:54:20.000Z","Regional General Manager",""
"","","","Pending","Jackson Controls","","","","","","Taiwan","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","jeffg@jackson.com","","","","Jeff","","00QHp00001TVByNMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Glimpse","","","","Phone Inquiry","","","","Jeff Glimpse","","130.0","005Hp00000hnUYPIA2","886-2-25474189","/services/images/photo/00QHp00001TVByNMAX","","Yes","GC5000 series","","2768","Mr","","Open - Not Contacted","","2023-10-28T20:54:20.000Z","SVP, Procurement",""
"","","","Pending","Ace Iron and Steel Inc.","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","carolync@aceis.com","","","","Carolyn","","00QHp00001TVBybMAH","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Crenshaw","","","","Phone Inquiry","","","","Carolyn Crenshaw","","130.0","005Hp00000hnUYPIA2","(251) 679-2200","/services/images/photo/00QHp00001TVBybMAH","","Yes","GC5000 series","","2768","Ms","AL","Closed - Not Converted","","2023-10-28T20:54:20.000Z","VP, Technology",""
"","9.0075E8","Tallahassee","Pending","Farmers Coop. of Florida","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","bertha@fcof.net","","","(850) 644-4300","Bertha","","00QHp00001TVByLMAX","","Agriculture","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Boxer","","","","Web","","","","Bertha Boxer","","130.0","005Hp00000hnUYPIA2","(850) 644-4200","/services/images/photo/00QHp00001TVByLMAX","32306","Yes","GC5000 series","Hot","2768","Ms.","FL","Working - Contacted","321 Westcott Building","2023-10-28T20:54:20.000Z","Director of Vendor Relations",""
"","","","Pending","Abbott Insurance","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","pcotton@abbottins.net","","","","Phyllis","","00QHp00001TVByMMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Cotton","","","","Web","","","","Phyllis Cotton","","130.0","005Hp00000hnUYPIA2","(703) 757-1000","/services/images/photo/00QHp00001TVByMMAX","","Yes","GC5000 series","","2768","Ms","VA","Open - Not Contacted","","2023-10-28T20:54:20.000Z","CFO",""
"","","","Pending","Pacific Retail Group","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","eluce@pacificretail.com","","","","Eugena","","00QHp00001TVByeMAH","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Luce","","","","Purchased List","","","","Eugena Luce","","130.0","005Hp00000hnUYPIA2","(781) 270-6500","/services/images/photo/00QHp00001TVByeMAH","","Yes","GC5000 series","","2768","Ms","MA","Closed - Not Converted","","2023-10-28T20:54:20.000Z","CEO",""
